Date,LQQ3_Close,TQQQ_Close,MACD,MACD_Signal,MACD_Histogram,SMA_200,MACD_Bullish,SMA_Bullish,AND_Signal,OR_Signal,Signal_State,MACD_Change,SMA_Change,OR_Change,AND_Change,LQQ3_Forward_Return_1d,LQQ3_Forward_Return_5d,LQQ3_Forward_Return_20d
2012-12-13,299.7279968261719,1.029360294342041,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Both_Bearish,,,,,-0.02936999254797157,0.04333264402834325,0.07079090976753322
2012-12-14,290.92498779296875,1.0001782178878784,-0.0006547260742919558,-0.00036373670793997544,-0.0002909893663519804,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,0.04107246069717596,0.04025435774355057,0.11741523943594001
2012-12-17,302.8739929199219,1.039154052734375,0.00037438733324668405,-6.122685499462321e-05,0.0004356141882413073,,1.0,0.0,0.0,1.0,MACD_Only,1.0,0.0,1.0,0.0,0.04640541282624189,-0.008449026784522307,0.0878847708843955
2012-12-18,316.9289855957031,1.087323546409607,0.0025724142246952297,0.0008309279822986873,0.0017414862423965425,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,-0.016035140247174562,-0.07924802859935587,0.03513090689581233
2012-12-19,311.84698486328125,1.0717332363128662,0.003092259046877377,0.0015036228492009628,0.0015886361976764141,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,0.002786682561861209,-0.09233366756039618,0.05510724461134697
2012-12-20,312.71600341796875,1.072533369064331,0.0033808462394273597,0.002012454759553768,0.0013683914798735919,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,-0.03223377435011232,-0.03819762082419986,0.07047609084267736
2012-12-21,302.635986328125,1.039154052734375,0.001995546839552942,0.0020081758160638194,-1.2628976510877573e-05,,0.0,0.0,0.0,0.0,Both_Bearish,-1.0,0.0,-1.0,0.0,-0.007669226369537818,0.08954654214232538,0.059639342463720046
2012-12-24,300.31500244140625,1.0303592681884766,0.0006162970534902001,0.001673681175131447,-0.001057384121641247,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,-0.028310321132941296,0.08084508433425919,0.08328250711685592
2012-12-27,291.81298828125,1.0003776550292969,-0.0033659972141812933,-3.47624915047033e-05,-0.0033312347226765898,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,-0.03001915473208472,0.10277137055684671,0.12158820714384921
2012-12-28,283.0530090332031,0.9713961482048035,-0.006169302581060299,-0.001376964810729543,-0.004792337770330756,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,0.06259600320471592,0.13632430811116358,0.15785026567422977
2012-12-31,300.77099609375,1.0347570180892944,-0.004660140017140879,-0.002082053154015043,-0.0025780868631258363,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,0.09630249164338389,0.06287176592059152,0.08379465858414004
2013-01-02,329.7359924316406,1.131296992301941,0.0019742809468301648,-0.001223591928895302,0.003197872875725467,,1.0,0.0,0.0,1.0,MACD_Only,1.0,0.0,1.0,0.0,-0.01559428879175706,-0.02100772166860454,-0.019251741056674043
2013-01-03,324.593994140625,1.1149063110351562,0.005964650510457803,0.0002801937526782456,0.005684456757779557,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,-0.008598388010262248,0.012517233442920439,0.031704269982708366
2013-01-04,321.8030090332031,1.103913426399231,0.008245549855136591,0.0019313602288480794,0.006314189626288512,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,-0.0005065036068347961,0.025782844900174462,-0.014042791162047874
2013-01-07,321.6400146484375,1.1051130294799805,0.009945400135321636,0.0035805898984262955,0.00636481023689534,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,-0.0060907063902462255,0.012028938754210294,0.03006774514920063
2013-01-08,319.6809997558594,1.0987166166305542,0.010722512186642774,0.005041879676571261,0.005680632510071513,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,0.009784725163663355,0.003957115528929078,0.026639028335875947
2013-01-09,322.8089904785156,1.1099098920822144,0.011891756976958767,0.006436987158797139,0.005454769818161628,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,0.018116045814797976,0.007047586904844527,0.01850327170901722
2013-01-10,328.6570129394531,1.12949800491333,0.0139022448814905,0.0079518704727055,0.005950374408785,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,0.0043905746941366175,0.0025406165765644584,0.0320668692585766
2013-01-11,330.1000061035156,1.1336952447891235,0.015557655292068873,0.009490769737131982,0.006066885554936891,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,-0.013907916792128328,-0.006170911192370121,0.02657377464899935
2013-01-14,325.5090026855469,1.1191037893295288,0.015684845124186886,0.010741117234688274,0.004943727889498612,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,-0.014018009467031578,0.010823080851344757,0.027529188013926786
2013-01-15,320.9460144042969,1.1025147438049316,0.014483694671558078,0.011495196847513833,0.0029884978240442457,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,0.012893135613357698,0.04302589799766254,0.054769249727981695
2013-01-16,325.0840148925781,1.1149063110351562,0.014222297158442476,0.012043855619443428,0.0021784415389990482,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,0.013559539380642027,-0.013531939844652174,0.03868844751952927
2013-01-17,329.49200439453125,1.1320960521697998,0.015033148101927907,0.012644550818816264,0.0023885972831116428,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,-0.004337028195592119,-0.012643753321587847,0.017344871079322255
2013-01-18,328.06298828125,1.1256998777389526,0.015042361389794534,0.013125931537950749,0.0019164298518437855,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,0.0029537762344966634,-0.0023440069775091388,0.04309240734484043
2013-01-22,329.0320129394531,1.1302974224090576,0.015196072427596574,0.013541214832623376,0.0016548575949731983,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,0.017393419844568436,-0.003947978249483564,-0.007999279521330616
2013-01-23,334.7550048828125,1.1486860513687134,0.01644169045842525,0.014122715941192316,0.002318974517232935,,1.0,0.0,0.0,1.0,MACD_Only,0.0,0.0,0.0,0.0,-0.042030760164868175,-0.026231141375911537,-0.055377796042975436
2013-01-24,320.68499755859375,1.1029140949249268,0.01394839325476882,0.014087783835388192,-0.00013939058061937168,,0.0,0.0,0.0,0.0,Both_Bearish,-1.0,0.0,-1.0,0.0,0.014472118266429135,0.008428841231319595,0.014069861211323698
2013-01-25,325.32598876953125,1.1193046569824219,0.01302237001437323,0.013874370830555718,-0.0008520008161824882,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,0.006049370926585196,0.029382900002082435,-0.04038101431087848
2013-01-28,327.29400634765625,1.1272990703582764,0.01272895087267134,0.013645002895227973,-0.0009160520225566324,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,0.0013412875054663598,-0.030584152387417185,-0.033422534935481085
2013-01-29,327.7330017089844,1.1272990703582764,0.012352303026397893,0.013386206622047087,-0.0010339035956491941,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,-0.005367182054826447,0.010917432516804215,-0.004512831782388815
2013-01-30,325.9739990234375,1.1211031675338745,0.011459035740271961,0.013000466831143642,-0.001541431090871681,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,-0.007933143572504076,0.006819537601217007,-0.0021350901875726302
2013-01-31,323.38800048828125,1.1139076948165894,0.010095633849320329,0.012419131769909325,-0.0023234979205889964,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,0.03555174978658604,0.016679692638649213,0.015881808602577152
2013-02-01,334.885009765625,1.1504850387573242,0.01163679970381537,0.01226258597854398,-0.0006257862747286094,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,-0.052558378757867175,0.012873089308145014,-0.006560525016968133
2013-02-04,317.28399658203125,1.091921091079712,0.008324762394492424,0.01147470165788343,-0.003149939263391006,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,0.04420962988284227,0.06804003015554261,0.0937519777792355
2013-02-05,331.3110046386719,1.139891266822815,0.009245538770669803,0.011028724352530607,-0.001783185581860804,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,-0.009399065012256846,0.00953483747235162,0.04030655100277736
2013-02-06,328.1969909667969,1.1292973756790161,0.009059397102293199,0.010634756622612805,-0.001575359520319607,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,0.001782533017542054,0.031465845616647226,0.057937809217639025
2013-02-07,328.7820129394531,1.1320960521697998,0.009021855941724555,0.010312109475244368,-0.0012902535335198133,,0.0,0.0,0.0,0.0,Both_Bearish,0.0,0.0,0.0,0.0,0.03167448660508554,0.027005728577887522,0.06122589914595311
